partition,client_id,mean_effective_lambda,observations,mean_reliability,mean_prediction_entropy
beta_0.1,79,0.29943417092530245,2,0.3173356226512364,0.8974211001562191
beta_0.1,80,0.24109331920439414,2,0.24631637003686693,0.9317890351402528
beta_0.1,81,0.1935556378128645,1,0.264332028105855,0.7982292577188205
beta_0.1,82,0.4040306026918348,2,0.4411473982036114,0.8778034996132458
beta_0.1,83,0.3221840493418388,2,0.33434757962822914,0.9134059631670055
beta_0.1,84,0.32821802399808053,4,0.3430786435492337,0.9078962621123012
beta_0.1,85,0.401990085817618,4,0.4511242561042309,0.8662350367704854
beta_0.1,86,0.3167395537375859,2,0.33925164408153957,0.8886711197868318
beta_0.1,87,0.3137361014424007,2,0.33516365475952625,0.8911169231809539
beta_0.1,88,0.356358517406323,3,0.46722618614633876,0.828588882158408
beta_0.1,89,0.33187940277527,1,0.3438146582671574,0.9151561134642971
beta_0.1,90,0.32165941775645257,1,0.36744339764118195,0.856479481677166
beta_0.1,91,0.2538499652972903,4,0.2617567362529891,0.9206070252139544
beta_0.1,92,0.4103266399986096,1,0.4331407795349757,0.8987361171791798
beta_0.1,93,0.3258676487172119,3,0.3651116428275903,0.867518447467024
beta_0.1,94,0.3181930876341395,3,0.33164909702760204,0.9156089610492302
beta_0.1,95,0.36070549154746095,5,0.38745524883270266,0.9052084817833809
beta_0.1,96,0.3886590040279567,1,0.40710520318576265,0.9048992524200585
beta_0.1,97,0.3038035667580612,4,0.3293493539094925,0.8819256888656701
beta_0.1,98,0.3500427962457849,3,0.37692523188889027,0.9018044381235297
beta_0.1,99,0.3411543837582691,3,0.36281563714146614,0.89395506250855
