section,dataset,setting,partition,method,last_window_accuracy,source
FL algorithm,TinyImageNet,FedAvg,"mean(beta=0.5,beta=0.3)",Fixed \lambda=0.3,42.33733333333333,logs/lambda/adaptive/logs_extension_fixed_lambda_competitors/tinyimagenet/beta_0.5/fedavg/fixed_lambda0p30_tkd1p00_r100.pkl | logs/lambda/adaptive/logs_extension_fixed_lambda_competitors/tinyimagenet/beta_0.3/fedavg/fixed_lambda0p30_tkd1p00_r100.pkl
FL algorithm,TinyImageNet,FedAvg,"mean(beta=0.5,beta=0.3)",Adaptive,42.91833333333334,logs/lambda/adaptive/logs_extension_short_horizon_warmup50/tinyimagenet/beta_0.5/fedavg/soft_b_tkd1p00_lmax1p00_warm50_tau0p85_r100.pkl | logs/lambda/adaptive/logs_extension_short_horizon_warmup50/tinyimagenet/beta_0.3/fedavg/soft_b_tkd1p00_lmax1p00_warm50_tau0p85_r100.pkl
FL algorithm,TinyImageNet,FedProx,"mean(beta=0.5,beta=0.3)",Plain,38.87916666666668,logs/lambda/adaptive/logs_ofat_matrix_no_resnet50/tinyimagenet/mechanism_fedprox/default/beta_0.5/mechanism_fedprox/plain_r100.pkl | logs/lambda/adaptive/logs_ofat_matrix_no_resnet50/tinyimagenet/mechanism_fedprox/default/beta_0.3/mechanism_fedprox/plain_r100.pkl
FL algorithm,TinyImageNet,FedProx,"mean(beta=0.5,beta=0.3)",Fixed \lambda=0.3,42.37166666666667,logs/lambda/adaptive/logs_ofat_matrix_no_resnet50/tinyimagenet/mechanism_fedprox/default/beta_0.5/mechanism_fedprox/fixed_lambda0p30_tkd1p00_r100.pkl | logs/lambda/adaptive/logs_ofat_matrix_no_resnet50/tinyimagenet/mechanism_fedprox/default/beta_0.3/mechanism_fedprox/fixed_lambda0p30_tkd1p00_r100.pkl
FL algorithm,TinyImageNet,FedProx,"mean(beta=0.5,beta=0.3)",Adaptive,43.10966666666667,logs/lambda/adaptive/logs_final_extension_matrix/mechanism/fedprox/tinyimagenet/beta_0.5/fedprox/soft_b_tkd1p00_lmax1p00_warm50_tau0p85_r100.pkl | logs/lambda/adaptive/logs_ofat_matrix_no_resnet50/tinyimagenet/mechanism_fedprox/default/beta_0.3/mechanism_fedprox/soft_b_tkd1p00_lmax1p00_warm50_tau0p85_r100.pkl
FL algorithm,TinyImageNet,MOON,"mean(beta=0.5,beta=0.3)",Plain,38.98116666666667,logs/lambda/adaptive/logs_ofat_matrix_no_resnet50/tinyimagenet/mechanism_moon/default/beta_0.5/mechanism_moon/plain_r100.pkl | logs/lambda/adaptive/logs_ofat_matrix_no_resnet50/tinyimagenet/mechanism_moon/default/beta_0.3/mechanism_moon/plain_r100.pkl
FL algorithm,TinyImageNet,MOON,"mean(beta=0.5,beta=0.3)",Fixed \lambda=0.3,42.60016666666667,logs/lambda/adaptive/logs_ofat_matrix_no_resnet50/tinyimagenet/mechanism_moon/default/beta_0.5/mechanism_moon/fixed_lambda0p30_tkd1p00_r100.pkl | logs/lambda/adaptive/logs_ofat_matrix_no_resnet50/tinyimagenet/mechanism_moon/default/beta_0.3/mechanism_moon/fixed_lambda0p30_tkd1p00_r100.pkl
FL algorithm,TinyImageNet,MOON,"mean(beta=0.5,beta=0.3)",Adaptive,42.99249999999999,logs/lambda/adaptive/logs_ofat_matrix_no_resnet50/tinyimagenet/mechanism_moon/default/beta_0.5/mechanism_moon/soft_b_tkd1p00_lmax1p00_warm50_tau0p85_r100.pkl | logs/lambda/adaptive/logs_ofat_matrix_no_resnet50/tinyimagenet/mechanism_moon/default/beta_0.3/mechanism_moon/soft_b_tkd1p00_lmax1p00_warm50_tau0p85_r100.pkl
Model (IID),ImageNet100-64,ResNet18,IID,Plain,56.794,logs/lambda/adaptive/logs_extension_completion/imagenet100_64/iid/fedavg/plain_r100.pkl
Model (IID),ImageNet100-64,ResNet18,IID,Fixed \lambda=0.3,61.620000000000005,logs/lambda/adaptive/logs_extension_fixed_lambda_competitors/imagenet100_64/iid/fedavg/fixed_lambda0p30_tkd1p00_r100.pkl
Model (IID),ImageNet100-64,ResNet18,IID,Adaptive,61.68733333333333,logs/lambda/adaptive/logs_extension_short_horizon_warmup50/imagenet100_64/iid/fedavg/soft_b_tkd1p00_lmax1p00_warm50_tau0p85_r100.pkl
Model (IID),ImageNet100-64,MobileNetV2,IID,Plain,45.311333333333316,logs/lambda/adaptive/logs_final_extension_matrix/model/mobilenet/imagenet100_64/iid/mobilenet/plain_r100.pkl
Model (IID),ImageNet100-64,MobileNetV2,IID,Fixed \lambda=0.3,43.69733333333334,logs/lambda/adaptive/logs_final_extension_matrix/model/mobilenet/imagenet100_64/iid/mobilenet/fixed_lambda0p30_tkd1p00_r100.pkl
Model (IID),ImageNet100-64,MobileNetV2,IID,Adaptive,44.62466666666666,logs/lambda/adaptive/logs_final_extension_matrix/model/mobilenet/imagenet100_64/iid/mobilenet/soft_b_tkd1p00_lmax1p00_warm50_tau0p85_r100.pkl
FL algorithm,ImageNet100-64,FedAvg,"mean(beta=0.5,beta=0.3)",Plain,53.056,logs/lambda/adaptive/logs_extension_completion/imagenet100_64/beta_0.5/fedavg/plain_r100.pkl | logs/lambda/adaptive/logs_extension_completion/imagenet100_64/beta_0.3/fedavg/plain_r100.pkl
FL algorithm,ImageNet100-64,FedAvg,"mean(beta=0.5,beta=0.3)",Fixed \lambda=0.3,55.86766666666667,logs/lambda/adaptive/logs_extension_fixed_lambda_competitors/imagenet100_64/beta_0.5/fedavg/fixed_lambda0p30_tkd1p00_r100.pkl | logs/lambda/adaptive/logs_extension_fixed_lambda_competitors/imagenet100_64/beta_0.3/fedavg/fixed_lambda0p30_tkd1p00_r100.pkl
FL algorithm,ImageNet100-64,FedAvg,"mean(beta=0.5,beta=0.3)",Adaptive,56.64700000000001,logs/lambda/adaptive/logs_extension_short_horizon_warmup50/imagenet100_64/beta_0.5/fedavg/soft_b_tkd1p00_lmax1p00_warm50_tau0p85_r100.pkl | logs/lambda/adaptive/logs_extension_short_horizon_warmup50/imagenet100_64/beta_0.3/fedavg/soft_b_tkd1p00_lmax1p00_warm50_tau0p85_r100.pkl
FL algorithm,ImageNet100-64,FedProx,"mean(beta=0.5,beta=0.3)",Plain,52.78366666666667,logs/lambda/adaptive/logs_final_extension_matrix/mechanism/fedprox/imagenet100_64/beta_0.5/fedprox/plain_r100.pkl | logs/lambda/adaptive/logs_ofat_matrix_no_resnet50/imagenet100_64/mechanism_fedprox/default/beta_0.3/mechanism_fedprox/plain_r100.pkl
FL algorithm,ImageNet100-64,FedProx,"mean(beta=0.5,beta=0.3)",Fixed \lambda=0.3,55.60533333333335,logs/lambda/adaptive/logs_ofat_matrix_no_resnet50/imagenet100_64/mechanism_fedprox/default/beta_0.5/mechanism_fedprox/fixed_lambda0p30_tkd1p00_r100.pkl | logs/lambda/adaptive/logs_ofat_matrix_no_resnet50/imagenet100_64/mechanism_fedprox/default/beta_0.3/mechanism_fedprox/fixed_lambda0p30_tkd1p00_r100.pkl
FL algorithm,ImageNet100-64,FedProx,"mean(beta=0.5,beta=0.3)",Adaptive,56.31866666666666,logs/lambda/adaptive/logs_ofat_matrix_no_resnet50/imagenet100_64/mechanism_fedprox/default/beta_0.5/mechanism_fedprox/soft_b_tkd1p00_lmax1p00_warm50_tau0p85_r100.pkl | logs/lambda/adaptive/logs_ofat_matrix_no_resnet50/imagenet100_64/mechanism_fedprox/default/beta_0.3/mechanism_fedprox/soft_b_tkd1p00_lmax1p00_warm50_tau0p85_r100.pkl
FL algorithm,ImageNet100-64,MOON,"mean(beta=0.5,beta=0.3)",Plain,52.99733333333333,logs/lambda/adaptive/logs_ofat_matrix_no_resnet50/imagenet100_64/mechanism_moon/default/beta_0.5/mechanism_moon/plain_r100.pkl | logs/lambda/adaptive/logs_ofat_matrix_no_resnet50/imagenet100_64/mechanism_moon/default/beta_0.3/mechanism_moon/plain_r100.pkl
FL algorithm,ImageNet100-64,MOON,"mean(beta=0.5,beta=0.3)",Fixed \lambda=0.3,55.93933333333332,logs/lambda/adaptive/logs_ofat_matrix_no_resnet50/imagenet100_64/mechanism_moon/default/beta_0.5/mechanism_moon/fixed_lambda0p30_tkd1p00_r100.pkl | logs/lambda/adaptive/logs_ofat_matrix_no_resnet50/imagenet100_64/mechanism_moon/default/beta_0.3/mechanism_moon/fixed_lambda0p30_tkd1p00_r100.pkl
FL algorithm,ImageNet100-64,MOON,"mean(beta=0.5,beta=0.3)",Adaptive,56.647000000000006,logs/lambda/adaptive/logs_ofat_matrix_no_resnet50/imagenet100_64/mechanism_moon/default/beta_0.5/mechanism_moon/soft_b_tkd1p00_lmax1p00_warm50_tau0p85_r100.pkl | logs/lambda/adaptive/logs_ofat_matrix_no_resnet50/imagenet100_64/mechanism_moon/default/beta_0.3/mechanism_moon/soft_b_tkd1p00_lmax1p00_warm50_tau0p85_r100.pkl
